gene	snp
ENSG00000001617	snp_1
ENSG00000002586	snp_2
ENSG00000002834	snp_3
ENSG00000003509	snp_4
ENSG00000004455	snp_5
ENSG00000004846	snp_6
ENSG00000005001	snp_7
ENSG00000005189	snp_8
ENSG00000005194	snp_9
ENSG00000005513	snp_10
ENSG00000005889	snp_11
ENSG00000005955	snp_12
ENSG00000006327	snp_13
ENSG00000006451	snp_14
ENSG00000006534	snp_15
ENSG00000007129	snp_16
ENSG00000007341	snp_17
ENSG00000007350	snp_18
ENSG00000007376	snp_19
ENSG00000008056	snp_20
ENSG00000008311	snp_21
ENSG00000009780	snp_22
ENSG00000009830	snp_23
ENSG00000010270	snp_24
ENSG00000010318	snp_25
ENSG00000010327	snp_26
ENSG00000010379	snp_27
ENSG00000010610	snp_28
ENSG00000011021	snp_29
ENSG00000011105	snp_30
ENSG00000011198	snp_31
ENSG00000011454	snp_32
ENSG00000012048	snp_33
ENSG00000012779	snp_34
ENSG00000013523	snp_35
ENSG00000013725	snp_36
ENSG00000014824	snp_37
ENSG00000015285	snp_38
ENSG00000016864	snp_39
ENSG00000017373	snp_40
ENSG00000018408	snp_41
ENSG00000020219	snp_42
ENSG00000021461	snp_43
ENSG00000022267	snp_44
ENSG00000023171	snp_45
ENSG00000023287	snp_46
ENSG00000023909	snp_47
ENSG00000024422	snp_48
ENSG00000028310	snp_49
ENSG00000032742	snp_50
ENSG00000033030	snp_51
ENSG00000034152	snp_52
ENSG00000035403	snp_53
ENSG00000035681	snp_54
ENSG00000035862	snp_55
ENSG00000036549	snp_56
ENSG00000037897	snp_57
ENSG00000038002	snp_58
ENSG00000039068	snp_59
ENSG00000040531	snp_60
ENSG00000042088	snp_61
ENSG00000042429	snp_62
ENSG00000042753	snp_63
ENSG00000046604	snp_64
ENSG00000046647	snp_65
ENSG00000047648	snp_66
ENSG00000048828	snp_67
ENSG00000049245	snp_68
ENSG00000049319	snp_69
ENSG00000049883	snp_70
ENSG00000052850	snp_71
ENSG00000053918	snp_72
ENSG00000054277	snp_73
ENSG00000055483	snp_74
ENSG00000055950	snp_75
ENSG00000057593	snp_76
ENSG00000057935	snp_77
ENSG00000058085	snp_78
ENSG00000058262	snp_79
ENSG00000058600	snp_80
ENSG00000058804	snp_81
ENSG00000059145	snp_82
ENSG00000059915	snp_83
ENSG00000064655	snp_84
ENSG00000065054	snp_85
ENSG00000065057	snp_86
ENSG00000065357	snp_87
ENSG00000065361	snp_88
ENSG00000065427	snp_89
ENSG00000065618	snp_90
ENSG00000065717	snp_91
ENSG00000065989	snp_92
ENSG00000066136	snp_93
ENSG00000066427	snp_94
ENSG00000066583	snp_95
ENSG00000067836	snp_96
ENSG00000068438	snp_97
ENSG00000068697	snp_98
ENSG00000068724	snp_99
ENSG00000068745	snp_100
ENSG00000069020	snp_101
ENSG00000069493	snp_102
ENSG00000069535	snp_103
ENSG00000070081	snp_104
ENSG00000070087	snp_105
ENSG00000070778	snp_106
ENSG00000070831	snp_107
ENSG00000071243	snp_108
ENSG00000071564	snp_109
ENSG00000071794	snp_110
ENSG00000072518	snp_111
ENSG00000072657	snp_112
ENSG00000072736	snp_113
ENSG00000073737	snp_114
ENSG00000074071	snp_115
ENSG00000074603	snp_116
ENSG00000074621	snp_117
ENSG00000075420	snp_118
ENSG00000076053	snp_119
ENSG00000076108	snp_120
ENSG00000077380	snp_121
ENSG00000077454	snp_122
ENSG00000077942	snp_123
ENSG00000078018	snp_124
ENSG00000078081	snp_125
ENSG00000078487	snp_126
ENSG00000078618	snp_127
ENSG00000078804	snp_128
ENSG00000079459	snp_129
ENSG00000079950	snp_130
ENSG00000080166	snp_131
ENSG00000080854	snp_132
ENSG00000081059	snp_133
ENSG00000081248	snp_134
ENSG00000081479	snp_135
ENSG00000081692	snp_136
ENSG00000081791	snp_137
ENSG00000081923	snp_138
ENSG00000083123	snp_139
ENSG00000083720	snp_140
ENSG00000083845	snp_141
ENSG00000084092	snp_142
ENSG00000084093	snp_143
ENSG00000085433	snp_144
ENSG00000085511	snp_145
ENSG00000085563	snp_146
ENSG00000085831	snp_147
ENSG00000086504	snp_148
ENSG00000086548	snp_149
ENSG00000086589	snp_150
ENSG00000087086	snp_151
ENSG00000087470	snp_152
ENSG00000088179	snp_153
ENSG00000088451	snp_154
ENSG00000088538	snp_155
ENSG00000088543	snp_156
ENSG00000088899	snp_157
ENSG00000089163	snp_158
ENSG00000089234	snp_159
ENSG00000089775	snp_160
ENSG00000090530	snp_161
ENSG00000091127	snp_162
ENSG00000091409	snp_163
ENSG00000091428	snp_164
ENSG00000091436	snp_165
ENSG00000092010	snp_166
ENSG00000092020	snp_167
ENSG00000092036	snp_168
ENSG00000092094	snp_169
ENSG00000092199	snp_170
ENSG00000092203	snp_171
ENSG00000092208	snp_172
ENSG00000092607	snp_173
ENSG00000093167	snp_174
ENSG00000094914	snp_175
ENSG00000094963	snp_176
ENSG00000095002	snp_177
ENSG00000095139	snp_178
ENSG00000095380	snp_179
ENSG00000095574	snp_180
ENSG00000095752	snp_181
